id,alpha2,code,mask,pos
5892,DJ,+253,999-999,169
5991,NE,+227,9999-9999,170
6026,KP,+850,(999) 999-99-99,171
6090,MZ,+258,(99) 999-99-99,172
6150,VI,+1 340,999-99-99,173
6156,JE,+44 1534,999-999,174
6245,BE,+32,(9) 999-99-99,175
6342,NF,+672,(9999) 99-99-99,176
6387,MM,+95,(99) 99-99-99,177
6390,LI,+4175,9-99-99,178
6452,ER,+291,999-99-99,179
6540,SL,+737,(99) 999-999,180
6719,GM,+220,999-999,181
6787,TJ,+737,,182
6860,MV,+960,99-99-99,183
7137,AM,,,184
7145,NP,+977,(99) 999-99-99,185
7306,HK,,,186
7308,AS,+684,999-99-99,187
7491,LS,+266,9999-9999,188
7543,ST,+239,999-99-99,189
7795,SD,+249,(999) 999-999,190
7857,GG,+44 1481,999-999,191
7943,BM,+1441,999-99-99,192
7973,PF,+689,999-999,193
8150,MT,+356,9999-9999,194
8153,KG,+733,,195
8380,PM,+508,,196
8429,SY,+963,(99) 999-99-99,197
8752,MC,+3393,999-99-99,198
8848,DM,+1767,999-99-99,199
8993,PW,+680,(99) 999-99-99,200
9384,KY,+1345,999-99-99,201
9557,GU,+671,999-99-99,202
9705,KN,+1869,999-99-99,203
10342,CY,+357,(99) 999-99-99,204
10808,TC,+1809,999-99-99,205
10810,NI,+505,(999) 999-99,206
10838,TV,+688,,207
10871,GW,+245,999-99-99,208
10891,EH,+213,(99) 999-99-99,209
10893,KI,+686,999-99,210
11013,SO,+252,(9) 999-999,211
11421,SA,+966,(9)999-99-99,212
11482,VG,+1284,999-99-99,213
11548,SV,+503,9999-9999,214
11688,GS,+44,(9999) 99-99-99,215
11915,ZW,+263,(9) 999-999,216
12849,BB,+1246,,217
13104,MO,+853,9999-9999,218
13417,WF,+681,999-999,219
14209,AD,+336,,220
14746,ET,+251,,221
14872,SZ,+268,9999-9999,222
15492,AI,+1264,999-99-99,223
15816,BI,+257,99-99-99-99,224
16566,NA,+264,(99) 99-99-99,225
16807,PR,+1787,999-99-99,226
17197,TF,+262,999-999-999,227
19212,BN,+673,(9) 99-99-99,228
19448,AW,+297,999-99-99,229
19852,LU,+352,99-99-99-99,230
20371,TO,+676,999-99-99,231
20867,GY,+592,(999) 99-99,232
21285,MQ,+596,(999) 99-99-99,233
21671,BV,+47,9999-9999,234
22709,VA,+379,(99) 999-999,235
23098,GI,+350,9999-9999,236
23530,MS,+1664,999-99-99,237
25699,BA,+387,(99) 99-99-99,238
25848,AX,+358 18,,239
31384,TK,+690,,240
34702,CC,+6722,(99) 999-99-99,241
42958,IO,+246,(999) 999-99-99,242
43326,SX,+599,,243
63557,SJ,+47,9999-9999,244
